Run,manSellers,Buyers,manBuyers,Sellers,riskAversion,maxRounds,Trades,manTarget,actualPrice,finalPrice
81,0,498,250,498,0.25,2500,366,2,0,58.102196399516345
82,0,498,250,498,0.25,2500,371,47,0,73.97641574017626
83,0,498,250,498,0.25,2500,368,87,50,59.627861740543736
84,0,498,250,498,0.25,2500,375,13,50,64.63426388555887
85,0,498,250,498,0.25,2500,368,11,100,69.69824533531741
86,0,498,250,498,0.25,2500,374,87,0,67.05181288733841
87,0,498,250,498,0.25,2500,370,12,0,71.72044847102322
88,0,498,250,498,0.25,2500,350,33,0,50
89,0,498,250,498,0.25,2500,365,19,0,61.463230758822974
90,0,498,250,498,0.25,2500,367,82,50,73.41936470974939
91,0,498,250,498,0.25,5000,393,13,50,68.75849346386768
92,0,498,250,498,0.25,5000,393,66,100,73.4600615787843
93,0,498,250,498,0.25,5000,395,59,0,73.4477827325424
94,0,498,250,498,0.25,5000,401,57,0,72.00622183735541
95,0,498,250,498,0.25,5000,401,55,50,73.66668097583613
96,0,498,250,498,0.25,5000,389,85,0,69.61260871699369
97,0,498,250,498,0.25,5000,386,60,0,74.33873283286447
98,0,498,250,498,0.25,5000,385,30,0,71.63733291319333
99,0,498,250,498,0.25,5000,400,68,50,74.35993337057499
100,0,498,250,498,0.25,5000,382,99,100,66.06846675002865
101,0,498,250,498,0.75,2500,355,58,0,63.17199183906281
102,0,498,250,498,0.75,2500,364,91,100,65.3086885013967
103,0,498,250,498,0.75,2500,362,36,50,62.296700472662025
104,0,498,250,498,0.75,2500,362,68,50,71.80955240620148
105,0,498,250,498,0.75,2500,358,1,50,61.555490222939014
106,0,498,250,498,0.75,2500,366,83,100,57.04171087616505
107,0,498,250,498,0.75,2500,0,68,50,0
108,0,498,250,498,0.75,2500,373,20,0,53.84691343126598
109,0,498,250,498,0.75,2500,0,43,50,0
110,0,498,250,498,0.75,2500,357,4,0,67.94322604046435
111,0,498,250,498,0.75,5000,370,97,50,62.97370849458558
112,0,498,250,498,0.75,5000,376,59,0,50.92982683446413
113,0,498,250,498,0.75,5000,0,57,50,0
114,0,498,250,498,0.75,5000,0,52,50,0
115,0,498,250,498,0.75,5000,0,45,100,0
116,0,498,250,498,0.75,5000,389,95,0,63.955037916087306
117,0,498,250,498,0.75,5000,389,56,50,60.987490027124004
118,0,498,250,498,0.75,5000,373,94,0,70.59686394465692
119,0,498,250,498,0.75,5000,388,28,0,67.49611548752304
120,0,498,250,498,0.75,5000,372,66,100,63.30305338933868
121,0,498,250,999,0.25,2500,447,27,0,49.45777459185871
122,0,498,250,999,0.25,2500,448,71,0,49.94710117966839
123,0,498,250,999,0.25,2500,454,71,100,68.2988860326068
124,0,498,250,999,0.25,2500,450,24,50,40.263935448666565
125,0,498,250,999,0.25,2500,433,83,100,47.19108681027474
126,0,498,250,999,0.25,2500,434,62,0,38.73148801961851
127,0,498,250,999,0.25,2500,445,25,0,29.89219893595958
128,0,498,250,999,0.25,2500,432,40,100,31.03582093542851
129,0,498,250,999,0.25,2500,441,17,0,26.59862268093982
130,0,498,250,999,0.25,2500,435,12,50,31.16817944411038
131,0,498,250,999,0.25,5000,559,22,50,48.938903536389866
132,0,498,250,999,0.25,5000,578,43,100,40.559621904513634
133,0,498,250,999,0.25,5000,564,57,100,49.99001559670441
134,0,498,250,999,0.25,5000,546,59,100,35.8847908026109
135,0,498,250,999,0.25,5000,554,45,50,47.970319710201835
136,0,498,250,999,0.25,5000,546,28,100,34.842543515351466
137,0,498,250,999,0.25,5000,565,70,0,48.33279379354871
138,0,498,250,999,0.25,5000,547,96,0,47.16963765021235
139,0,498,250,999,0.25,5000,550,96,50,37.238587215957644
140,0,498,250,999,0.25,5000,561,57,100,40.9753758542783
141,0,498,250,999,0.75,2500,0,16,50,0
142,0,498,250,999,0.75,2500,445,17,0,31.35375611372001
143,0,498,250,999,0.75,2500,0,50,50,0
144,0,498,250,999,0.75,2500,447,65,100,39.78942699106613
145,0,498,250,999,0.75,2500,423,57,100,26.729533401227663
146,0,498,250,999,0.75,2500,432,91,50,45.49425258852877
147,0,498,250,999,0.75,2500,0,67,100,0
148,0,498,250,999,0.75,2500,0,4,50,0
149,0,498,250,999,0.75,2500,428,31,0,44.52075379332551
150,0,498,250,999,0.75,2500,0,30,50,0
151,0,498,250,999,0.75,5000,0,91,100,0
152,0,498,250,999,0.75,5000,535,50,100,40.15891570718973
153,0,498,250,999,0.75,5000,0,86,100,0
154,0,498,250,999,0.75,5000,499,40,100,38.76186730696377
155,0,498,250,999,0.75,5000,0,37,0,0
156,0,498,250,999,0.75,5000,530,65,100,27.677471569782952
157,0,498,250,999,0.75,5000,512,70,100,29.74559050858888
158,0,498,250,999,0.75,5000,521,31,0,44.151215113394855
159,0,498,250,999,0.75,5000,0,28,0,0
160,0,498,250,999,0.75,5000,531,45,50,45.4480397475518
241,0,999,250,498,0.25,2500,354,35,50,74.99193250897454
242,0,999,250,498,0.25,2500,339,7,0,74.35221906657158
243,0,999,250,498,0.25,2500,332,81,100,64.07617841472893
244,0,999,250,498,0.25,2500,337,71,100,75
245,0,999,250,498,0.25,2500,333,27,100,74.99972817235195
246,0,999,250,498,0.25,2500,338,67,100,74.9877665308268
247,0,999,250,498,0.25,2500,333,65,50,74.41798569570733
248,0,999,250,498,0.25,2500,336,41,100,75
249,0,999,250,498,0.25,2500,339,98,0,74.97520553665488
250,0,999,250,498,0.25,2500,341,63,50,41.81176448814384
251,0,999,250,498,0.25,5000,427,15,100,75
252,0,999,250,498,0.25,5000,408,46,0,75
253,0,999,250,498,0.25,5000,404,52,100,75
254,0,999,250,498,0.25,5000,432,50,100,75
255,0,999,250,498,0.25,5000,415,20,100,75
